# Music Analyser - Comprehensive Analysis Results
# Generated: 2025-10-25T08:10:58.907436

[TRACK_METADATA]
parameter,value
track_name,Allegro maestoso.flac
track_path,Tracks\Allegro maestoso.flac
duration_seconds,770.32
sample_rate,44100
samples,33971112
channels,1
original_peak,0.5365142822265625
original_peak_dbfs,-5.408373832702637
analysis_date,2025-10-25T08:10:58.907436

[OCTAVE_BAND_ANALYSIS]
frequency_hz,max_amplitude,max_amplitude_db,rms,rms_db,dynamic_range,dynamic_range_db,crest_factor,crest_factor_db,mean,std,p10,p25,p50,p75,p90,p95,p99
Full Spectrum,1.0,-5.408374248997859,0.07989775200952748,-27.35768304409271,0.07989775200952748,-21.949308795094847,12.51599669388388,21.949308795094847,0.006844940666239869,0.07960400469481173,0.005346833262592554,0.014106538146734238,0.03296265751123428,0.06845653057098389,0.1251670867204666,0.17254912853240967,0.28835612714292314
31.250,0.010055723915256509,-45.36010742744978,0.00040795720688436324,-73.19608205527318,0.04056965071061786,-27.83597462782339,24.648967454340955,27.835974627823393,1.2567523416276643e-13,0.00040795720688436324,3.0162868776462338e-05,7.729964559249162e-05,0.00017095588081318907,0.0003243442504074268,0.0005525742904275452,0.0007658648394098723,0.001451405031041805
62.500,0.03825408871723692,-33.754817034403,0.0025820284132356433,-57.16915390833283,0.06749679576270252,-23.414336873929837,14.815518110158667,23.414336873929837,2.2367193802836145e-14,0.0025820284132356433,9.82306450601616e-05,0.0002606083547065254,0.0006458586254669178,0.001561043176512674,0.003488880598279205,0.005501529670427423,0.010932840605338341
125.000,0.12436096852627979,-23.514692335389352,0.011316946931863948,-44.33378866156769,0.0910007944291015,-20.819096326178336,10.988915055891052,20.819096326178336,-1.4050363500735088e-17,0.011316946931863948,0.0004106136448592785,0.001212764375865388,0.003489766972074278,0.00864510394587552,0.01737463014320637,0.02488928314607731,0.043802502231505086
250.000,0.43988216363187205,-12.541647198289903,0.03493370461810652,-34.54348137398391,0.07941605163000377,-22.001834175694004,12.591912837205257,22.001834175694004,-6.501745514038558e-14,0.03493370461810652,0.0017141495725208587,0.0050053764200545196,0.012948128213556578,0.028768418220899386,0.0549715482489312,0.07679133708527955,0.12872833837641823
500.000,0.8524503725618572,-6.794992150836813,0.05650626165019734,-30.366442726432176,0.06628686369199402,-23.571450575595364,15.085945303530446,23.571450575595364,-8.486888776982893e-12,0.05650626165019734,0.00322903875560935,0.008759900813127941,0.02102622287850201,0.04614345514884115,0.08750436173070177,0.12252594698404237,0.20933686800162465
1000.000,0.6742138271556852,-8.832421148370985,0.035565658178361124,-34.387757245688434,0.05275130343796483,-25.55533609731745,18.956877552343197,25.55533609731745,1.1176408170565431e-12,0.035565658178361124,0.0015042641132424239,0.004291564620652988,0.011329727855602609,0.027162733777224883,0.05336016594041427,0.0763341921569791,0.1368238138455305
2000.000,0.3218859215960584,-15.254334603875366,0.014524318054892533,-42.16645923766414,0.045122563866335896,-26.91212463378878,22.16186125775666,26.91212463378878,2.6136529373705773e-12,0.014524318054892535,0.00034528186322080133,0.0010417480002382724,0.0031412928686850067,0.008948873403548305,0.0199689000839482,0.029977108024600786,0.05853873966983871
4000.000,0.09358907067533963,-25.98387155255429,0.002763109797679201,-56.58041139265989,0.029523851211905133,-30.596539840105592,33.87091991564983,30.596539840105592,2.7084747213237638e-12,0.002763109797679201,2.8250398418134173e-05,8.614520767413095e-05,0.00032269689517680424,0.0012825581956874494,0.003526273880278466,0.0057213335273616,0.011849950226515013
8000.000,0.029909181776562054,-35.892283604409386,0.0004416402597237886,-72.50700111676173,0.014766042850088073,-36.61471751235235,67.72295124377452,36.61471751235234,2.0742210646355096e-12,0.0004416402597237886,6.024802143756888e-06,1.5685531545461417e-05,3.759589066080305e-05,0.00011757035001251532,0.0004098582882527681,0.0007477044511874511,0.0018976580045911098
16000.000,0.0027897852670548283,-56.49695872060218,7.023288495189027e-05,-88.47756408359021,0.025175014644060762,-31.980605362988037,39.72192326950316,31.980605362988037,5.306516399634528e-13,7.023288495189027e-05,1.0564127541779481e-05,2.6205178258662365e-05,5.166982089077213e-05,8.036072354528667e-05,0.00010774182306675358,0.00012583447953684804,0.00017111695850643505

[TIME_DOMAIN_ANALYSIS]
time_seconds,crest_factor,crest_factor_db,peak_level,rms_level,peak_level_dbfs,rms_level_dbfs
1.0,5.6616855,15.058914,0.5552743,0.09807579,-10.518223,-25.577137
3.0,4.6380434,13.326696,0.75290805,0.16233312,-7.873535,-21.200233
5.0,5.449968,14.727879,0.926737,0.1700445,-6.0692444,-20.797121
7.0,4.659596,13.366965,0.6335144,0.13595909,-9.373244,-22.74021
9.0,6.390169,16.110247,0.3351725,0.05245127,-14.903007,-31.013256
11.0,4.608095,13.27043,0.4914536,0.10665005,-11.578724,-24.849152
13.0,5.4300513,14.696078,0.9488638,0.17474306,-5.8642964,-20.560377
15.0,4.8728127,13.755594,0.82133615,0.16855484,-7.1179557,-20.873549
17.0,6.555468,16.332075,0.623674,0.095137976,-9.509222,-25.841295
19.0,4.9616876,13.912588,0.17653081,0.035578784,-20.471964,-34.384552
21.0,5.421811,14.682888,0.41218963,0.076024346,-13.106433,-27.789322
23.0,5.0619426,14.086344,0.42726317,0.08440696,-12.794465,-26.88081
25.0,5.608352,14.976706,0.20750263,0.03699886,-19.067902,-34.044605
27.0,5.6216407,14.997262,0.22195046,0.03948144,-18.483253,-33.480515
29.0,5.349453,14.566188,0.26987287,0.050448686,-16.78519,-31.351377
31.0,5.0876365,14.1303215,0.55851656,0.10977918,-10.467653,-24.597973
33.0,5.3987823,14.645916,0.73035467,0.13528137,-8.137698,-22.783613
35.0,3.907177,11.837262,0.54130995,0.13854247,-10.739454,-22.576715
37.0,4.14087,12.341832,0.47137454,0.11383466,-11.9410515,-24.282885
39.0,5.572756,14.9214,0.59890217,0.107469656,-9.861257,-24.782658
41.0,5.5915475,14.95064,0.6626376,0.11850701,-8.982853,-23.933495
43.0,4.4295044,12.927103,0.49244902,0.11117475,-11.561148,-24.48825
45.0,4.8332734,13.684827,0.590626,0.1222,-9.982123,-23.66695
47.0,4.108026,12.272664,0.4389807,0.106859274,-12.559466,-24.83213
49.0,4.407237,12.883328,0.2864822,0.06500267,-16.266422,-29.14975
51.0,4.932911,13.862065,0.30431443,0.06169064,-15.741922,-29.603989
53.0,3.80743,11.612638,0.33579817,0.088195495,-14.886807,-26.499445
55.0,4.347637,12.765065,0.31256223,0.07189243,-15.5096445,-28.27471
57.0,3.9058423,11.834293,0.39020506,0.09990292,-13.582517,-25.416811
59.0,4.0964804,12.248219,0.36273143,0.08854709,-14.21667,-26.46489
61.0,4.035848,12.118696,0.5029436,0.12461905,-11.377989,-23.496685
63.0,4.3037653,12.676972,0.5128409,0.11916099,-11.20872,-23.885693
65.0,3.944026,11.918795,0.5070106,0.12855153,-11.308035,-23.22683
67.0,4.441916,12.9514065,0.50405276,0.11347643,-11.358853,-24.31026
69.0,3.9881077,12.015338,0.55004126,0.13792036,-10.60047,-22.615807
71.0,4.395894,12.860945,0.6442365,0.14655414,-9.227468,-22.088413
73.0,4.119895,12.297724,0.61898124,0.150242,-9.574824,-21.872547
75.0,4.6043634,13.263392,0.49546373,0.10760743,-11.508137,-24.771528
77.0,3.7139988,11.396835,0.256648,0.069102876,-17.221617,-28.618452
79.0,4.310649,12.690853,0.36398283,0.08443806,-14.186756,-26.87761
81.0,5.821296,15.300394,0.63479424,0.109046884,-9.355715,-24.656109
83.0,5.2450747,14.395033,0.43403202,0.082750395,-12.657939,-27.052973
85.0,4.997291,13.974693,0.32968345,0.06597243,-15.046431,-29.021126
87.0,4.1794424,12.422367,0.1218111,0.0291453,-23.694637,-36.117004
89.0,4.4952106,13.055001,0.14683883,0.032665618,-22.071556,-35.126556
91.0,4.746753,13.527933,0.16063252,0.033840504,-21.291704,-34.819637
93.0,5.2583275,14.416952,0.30818236,0.058608435,-15.632218,-30.049171
95.0,4.66068,13.368986,0.19695117,0.042258035,-19.521202,-32.89019
97.0,3.8390386,11.68445,0.12553681,0.032700066,-23.432951,-35.1174
99.0,4.311627,12.692823,0.14504707,0.033640914,-22.178194,-34.871017
101.0,3.7296958,11.433468,0.12920566,0.034642413,-23.182745,-34.61621
103.0,4.393319,12.855855,0.16472797,0.037495106,-21.073027,-33.928883
105.0,5.073945,14.1069145,0.23804784,0.04691573,-17.87509,-31.982004
107.0,4.4939547,13.052573,0.117943175,0.026244853,-23.974916,-37.02749
109.0,4.3858976,12.841169,0.15949489,0.036365394,-21.353437,-34.194607
111.0,4.300576,12.670532,0.12511021,0.029091498,-23.46252,-36.133053
