# Music Analyser - Comprehensive Analysis Results
# Generated: 2025-10-25T08:12:40.248835

[TRACK_METADATA]
parameter,value
track_name,Californication.flac
track_path,Tracks\Californication.flac
duration_seconds,321.5733333333333
sample_rate,44100
samples,14181384
channels,1
original_peak,0.988555908203125
original_peak_dbfs,-0.09997528046369553
analysis_date,2025-10-25T08:12:40.248835

[OCTAVE_BAND_ANALYSIS]
frequency_hz,max_amplitude,max_amplitude_db,rms,rms_db,dynamic_range,dynamic_range_db,crest_factor,crest_factor_db,mean,std,p10,p25,p50,p75,p90,p95,p99
Full Spectrum,1.0,-0.09997527890305569,0.3712078110938673,-8.707633154298852,0.3712078110938673,-8.607657875395798,2.69390882980943,8.607657875395798,1.2394396458076297e-06,0.37120781109179807,0.034930385649204254,0.09915722161531448,0.22700892388820648,0.41677215695381165,0.6304911375045776,0.7735158801078796,0.9977772831916809
31.250,0.1624700603053651,-15.884508445484986,0.021363557981586623,-33.506503604760105,0.1314922758164395,-17.621995159275116,7.60500944858525,17.621995159275116,-2.645479643580546e-12,0.021363557981586623,0.0004924151263603121,0.0019268535029391735,0.006998565405051236,0.01791952033924034,0.03227520197150299,0.046101411260139044,0.08413395147897607
62.500,0.8265918611787453,-1.7541527829159933,0.113121015724964,-19.029109358020804,0.1368523222133472,-17.27495657510481,7.30714673910349,17.274956575104813,5.253718306486626e-13,0.113121015724964,0.003991773340980627,0.013024186179903271,0.042308176288356814,0.10501560947093816,0.18626648372058782,0.2503147696584773,0.3882684103653534
125.000,1.049397935548134,0.31882883084695923,0.21930295556108073,-13.279085584229133,0.20897978558203645,-13.597914415076094,4.785151813678377,13.597914415076094,-5.336696483057982e-14,0.21930295556108073,0.02170915479339423,0.06211266589390803,0.14354979197190015,0.255268462357665,0.36311180179632924,0.4301664927097004,0.5618652881579282
250.000,0.8167217198439173,-1.8584931720814055,0.12817468549691993,-17.943930069253465,0.15693801497211957,-16.08543689717206,6.371942452423988,16.08543689717206,7.523913158160016e-15,0.12817468549691996,0.010990193094034212,0.03177707655981184,0.07263913846752096,0.1342189137044259,0.20771252007212146,0.26045014661989446,0.394216443179556
500.000,0.8008169740532696,-2.0293098820965776,0.11224584523219353,-19.09656978671009,0.14016416842923593,-17.06725990461351,7.134491012978582,17.06725990461351,1.6182415882459482e-10,0.11224584523219353,0.006117242670331639,0.019669528373085245,0.05139903829466791,0.10817382381881442,0.18547790518500945,0.24458828586776055,0.37308315679737836
1000.000,0.8519573696901349,-1.4916179979243043,0.09363830504469081,-20.67090440105122,0.10990961329291389,-19.179286403126916,9.098385209808322,19.179286403126913,1.9847509092825396e-13,0.09363830504469081,0.004041000929559011,0.013043548252662844,0.03578840905691805,0.08115363043240906,0.15082146592233053,0.2094962501223154,0.33755489088625606
2000.000,1.0022165943847852,-0.08074349137501413,0.1309870164322826,-17.755410277430872,0.13069731350106964,-17.67466678605586,7.651266680334756,17.67466678605586,-4.961736907308445e-15,0.1309870164322826,0.004242379139536391,0.01582482264499548,0.05158726643943799,0.1257571638676325,0.221577110186788,0.28959171810550566,0.4335999462166629
4000.000,1.1932707740054225,1.4348047984121315,0.09069652026635959,-20.948162780944514,0.07600665518851252,-22.382967579356645,13.156742623653013,22.382967579356645,-1.0213552134030486e-17,0.09069652026635959,0.001978694983596142,0.009038401509376992,0.03227306947212454,0.08035244455664418,0.14701066110488573,0.19832170674981262,0.3195720505327634
8000.000,0.8155154165949968,-1.8713317707922044,0.051476328650931664,-25.86782397948491,0.06312122076840634,-23.996492208692707,15.842532635245286,23.996492208692707,1.6746643540230545e-20,0.051476328650931664,0.00047488362717451675,0.004443365931630323,0.016354858079404257,0.040904356496458474,0.0797078477450255,0.11236970860167428,0.1954465344618381
16000.000,0.3686827588091576,-8.766918706825281,0.012817802119502026,-37.94370402517583,0.0347664809737874,-29.17678531835055,28.763336753983292,29.176785318350547,1.8201809726423662e-22,0.012817802119502026,0.00021964913122206182,0.0010287492743566954,0.0035119596373723123,0.008755824936094652,0.017999004008068663,0.026943059143191887,0.051886823614942075

[TIME_DOMAIN_ANALYSIS]
time_seconds,crest_factor,crest_factor_db,peak_level,rms_level,peak_level_dbfs,rms_level_dbfs
1.0,4.990577,13.963015,0.32556418,0.06523578,-9.847243,-23.810257
3.0,3.6529312,11.2528305,0.43867502,0.120088495,-7.2571173,-18.509947
5.0,3.134277,9.922748,0.37029606,0.11814401,-8.728993,-18.651741
7.0,5.3996177,14.64726,0.64472264,0.11940154,-3.912517,-18.559776
9.0,3.8817194,11.780482,0.5867163,0.15114856,-4.731413,-16.511894
11.0,5.1645226,14.260603,1.0,0.19362874,-0.09997528,-14.3605795
13.0,4.2863727,12.641798,1.0,0.2332975,-0.09997528,-12.741774
15.0,4.512913,13.08914,1.0,0.22158635,-0.09997528,-13.189116
17.0,4.715493,13.470543,1.0,0.21206689,-0.09997528,-13.570518
19.0,4.1623,12.386667,1.0,0.24025176,-0.09997528,-12.486644
21.0,4.0868616,12.227798,1.0,0.24468654,-0.09997528,-12.327774
23.0,3.4954095,10.869961,1.0,0.2860895,-0.09997528,-10.969936
25.0,3.4451911,10.7442665,1.0,0.29025966,-0.09997528,-10.844241
27.0,3.2386043,10.207158,1.0,0.30877498,-0.09997528,-10.307133
29.0,3.3465374,10.491914,1.0,0.29881632,-0.09997528,-10.591888
31.0,3.106219,9.844642,1.0,0.3219348,-0.09997528,-9.944617
33.0,2.7050126,8.643386,1.0,0.36968404,-0.09997528,-8.743361
35.0,3.1206534,9.884911,1.0,0.32044572,-0.09997528,-9.984885
37.0,4.4450073,12.95745,1.0,0.2249715,-0.09997528,-13.057425
39.0,4.125762,12.310083,1.0,0.24237947,-0.09997528,-12.410058
41.0,3.9884927,12.016176,1.0,0.25072128,-0.09997528,-12.116152
43.0,4.2416368,12.55067,1.0,0.23575804,-0.09997528,-12.650644
45.0,4.131541,12.322241,1.0,0.24204044,-0.09997528,-12.422217
47.0,2.9969695,9.533646,1.0,0.3336704,-0.09997528,-9.633621
49.0,3.3447738,10.487335,1.0,0.2989739,-0.09997528,-10.58731
51.0,3.0280297,9.623202,1.0,0.33024776,-0.09997528,-9.723178
53.0,3.4638839,10.7912655,1.0,0.28869328,-0.09997528,-10.891242
55.0,3.721825,11.415119,1.0,0.2686854,-0.09997528,-11.515094
57.0,2.5926697,8.274944,1.0,0.38570282,-0.09997528,-8.374919
59.0,2.6603403,8.498744,1.0,0.37589175,-0.09997528,-8.59872
61.0,2.4743059,7.8690677,1.0,0.40415373,-0.09997528,-7.9690433
63.0,2.430957,7.7155457,1.0,0.41136062,-0.09997528,-7.815521
65.0,2.5803325,8.233513,1.0,0.38754696,-0.09997528,-8.333488
67.0,2.4842412,7.9038754,1.0,0.4025374,-0.09997528,-8.00385
69.0,2.6154804,8.351029,1.0,0.38233894,-0.09997528,-8.451005
71.0,2.3545616,7.4382014,1.0,0.4247075,-0.09997528,-7.5381765
73.0,2.3715427,7.500619,1.0,0.42166644,-0.09997528,-7.6005945
75.0,2.318068,7.302523,1.0,0.43139374,-0.09997528,-7.4024982
77.0,2.395832,7.5891275,1.0,0.41739154,-0.09997528,-7.689102
79.0,2.30159,7.2405586,1.0,0.43448228,-0.09997528,-7.3405337
81.0,2.373054,7.506152,1.0,0.4213979,-0.09997528,-7.6061287
83.0,2.302381,7.2435436,1.0,0.43433297,-0.09997528,-7.343519
85.0,2.458301,7.812701,1.0,0.40678498,-0.09997528,-7.912677
87.0,2.3500907,7.421693,1.0,0.42551547,-0.09997528,-7.521668
89.0,2.266229,7.1060753,1.0,0.44126168,-0.09997528,-7.206051
91.0,2.1487002,6.6435165,1.0,0.46539766,-0.09997528,-6.743492
93.0,2.1038692,6.460375,1.0,0.4753147,-0.09997528,-6.56035
95.0,2.1017735,6.4517183,1.0,0.47578865,-0.09997528,-6.551694
97.0,2.0638676,6.2936363,1.0,0.4845272,-0.09997528,-6.393612
99.0,2.1443942,6.626092,1.0,0.4663322,-0.09997528,-6.7260675
101.0,3.2757075,10.306102,1.0,0.30527756,-0.09997528,-10.406078
103.0,3.775236,11.538882,1.0,0.2648841,-0.09997528,-11.638856
105.0,3.5484846,11.000858,1.0,0.28181043,-0.09997528,-11.100834
107.0,3.7921593,11.577731,1.0,0.263702,-0.09997528,-11.677708
109.0,3.6378715,11.216947,1.0,0.274886,-0.09997528,-11.316921
