# Music Analyser - Comprehensive Analysis Results
# Generated: 2025-10-25T08:29:04.142542

[TRACK_METADATA]
parameter,value
track_name,Fragments of Time.wav
track_path,Tracks\Fragments of Time.wav
duration_seconds,279.7733333333333
sample_rate,44100
samples,12338004
channels,1
original_peak,0.9957275390625
original_peak_dbfs,-0.03718962520360947
analysis_date,2025-10-25T08:29:04.142542

[OCTAVE_BAND_ANALYSIS]
frequency_hz,max_amplitude,max_amplitude_db,rms,rms_db,dynamic_range,dynamic_range_db,crest_factor,crest_factor_db,mean,std,p10,p25,p50,p75,p90,p95,p99
Full Spectrum,1.0,-0.0371896264918596,0.24056850403525298,-12.412414275232454,0.24056850403525298,-12.375224648740595,4.156820129094953,12.375224648740595,-9.302495318676227e-06,0.24056850385539483,0.018925461918115616,0.055581096559762955,0.1295359879732132,0.2463681548833847,0.39481428265571594,0.5068805813789368,0.7722355127334595
31.250,0.2383256523309966,-12.493773818067815,0.03263770781648423,-29.76279662339003,0.13694584488603695,-17.269022805322216,7.302156562925849,17.269022805322216,-3.534739977165121e-10,0.03263770781648423,0.0013715879543415176,0.00406607119414827,0.011186447067713873,0.026659160983447675,0.05508046653959342,0.07701379176332415,0.1137806178115411
62.500,0.7625477838106883,-2.3918483619818844,0.13668070296229146,-17.323045551458222,0.17924214831397908,-14.931197189476336,5.579044936731603,14.931197189476336,-2.527386902837622e-10,0.13668070296229146,0.007244606624493078,0.02667185841983755,0.0716140710033854,0.13159938170358607,0.2050523940500607,0.28624458575847295,0.4892500535970447
125.000,0.8959737921960919,-0.9912834973360183,0.1125607779986605,-19.009447902535634,0.12562954293871306,-18.018164405199613,7.959911153126129,18.018164405199613,-1.0084362533228758e-10,0.1125607779986605,0.006949855664920831,0.022351937866103386,0.057774648028874664,0.11253541988409779,0.17803002343588162,0.226028204438794,0.37979967613861493
250.000,0.7760906005722715,-2.238941154116544,0.10189174055596807,-19.87441000452758,0.13128846101323147,-17.635468850411037,7.616815615648189,17.635468850411037,-4.999829949953747e-11,0.10189174055596807,0.005663221672852001,0.01846851500647384,0.047915997329825086,0.09861331487541182,0.16452521309581794,0.2138246291142723,0.3423389555484794
500.000,0.6622485926313991,-3.6167687457872515,0.0729067381753957,-22.781836257070957,0.11008968382357115,-19.165067511283706,9.083503242707028,19.165067511283706,-1.715443722756895e-10,0.0729067381753957,0.0040687389407206495,0.01328085800388791,0.0349515078685868,0.07234879854494163,0.1199650475669003,0.1552234650408414,0.23553375840737859
1000.000,0.5292527032703085,-5.563927927528061,0.05423481712482294,-25.351626024665023,0.10247433180728273,-19.78769809713696,9.758541308477517,19.78769809713696,-1.1856972364211414e-11,0.05423481712482294,0.0015724222537047573,0.005699552311531953,0.018726819098492064,0.04656302902299433,0.08737849456751821,0.11997021372130115,0.1972249544508905
2000.000,0.43943009377029657,-7.179393713134128,0.03210948565151835,-29.904522649697128,0.07307074801368282,-22.725128936563,13.685366951666426,22.725128936563,-3.520840945247473e-12,0.03210948565151835,0.0005425533959977964,0.002446974095655653,0.009306264069852086,0.025026253664594756,0.04927739073838768,0.06990432528556025,0.1236927667175501
4000.000,0.6093111370334543,-4.340407301226488,0.022287533545701312,-33.07594942939503,0.03657824745205275,-28.73554212816854,27.338652605235207,28.73554212816854,-2.8772675373310226e-12,0.02228753354570131,0.00032815576590517365,0.0013791706546069716,0.005479615826390222,0.015835668287870096,0.03281398894399045,0.04745540008803228,0.08581880467970213
8000.000,0.4781862286444661,-6.445248333508083,0.021515509691934824,-33.38215685119234,0.04499399690561084,-26.93690851768426,22.225187108800686,26.93690851768426,-2.603842682308684e-12,0.021515509691934824,0.00015888992942306355,0.0006978082072258448,0.003693786592725199,0.013637939588729895,0.0310445680544145,0.045930176277180275,0.08652613775682384
16000.000,0.3774721389352991,-8.49949158550259,0.019460496340841613,-34.25411137101095,0.05155478864143998,-25.75461978550836,19.396840261627904,25.75461978550836,-2.2109925105115793e-12,0.019460496340841613,0.00011592107514450783,0.00040427351199413965,0.0023736108427128925,0.010061820788889942,0.026936727433876848,0.042938641292777704,0.08410058695386763

[TIME_DOMAIN_ANALYSIS]
time_seconds,crest_factor,crest_factor_db,peak_level,rms_level,peak_level_dbfs,rms_level_dbfs
1.0,5.1571274,14.2481575,0.9878632,0.191553,-0.14325361,-14.391411
3.0,4.9085984,13.81915,0.98594767,0.20086133,-0.16011247,-13.979263
5.0,4.8121004,13.646693,0.98867536,0.2054561,-0.13611531,-13.782808
7.0,5.2443924,14.393903,0.98709697,0.1882195,-0.14999324,-14.543897
9.0,4.4730506,13.012076,0.9839708,0.21997757,-0.17754522,-13.189621
11.0,5.4209876,14.681568,0.9857331,0.18183644,-0.16200273,-14.843571
13.0,5.106291,14.162111,0.98220855,0.19235264,-0.19311556,-14.3552265
15.0,4.3265214,12.722777,0.98588634,0.22787043,-0.16065252,-12.88343
17.0,4.978413,13.941818,0.99272096,0.1994051,-0.100645654,-14.042464
19.0,4.5108876,13.08524,0.988185,0.21906665,-0.14042453,-13.225664
21.0,5.254983,14.411427,0.97954214,0.18640253,-0.2167274,-14.628153
23.0,4.8373036,13.692066,0.9886447,0.2043793,-0.13638458,-13.828451
25.0,5.2584367,14.417133,0.987664,0.18782464,-0.1450054,-14.562139
27.0,4.9017105,13.806953,0.98167217,0.20027134,-0.19785993,-14.004813
29.0,5.0507574,14.06713,0.9887673,0.19576615,-0.13530758,-14.202437
31.0,3.834622,11.674451,0.9880624,0.2576688,-0.14150216,-11.815953
33.0,4.567754,13.194054,0.9864993,0.21597032,-0.15525377,-13.349308
35.0,4.6174583,13.288059,0.9854573,0.21341985,-0.16443363,-13.452493
37.0,4.3418736,12.753544,0.9827602,0.22634472,-0.18823838,-12.941782
39.0,4.2345104,12.536064,0.9895642,0.23369035,-0.12831031,-12.664374
41.0,4.6499944,13.349049,0.98961014,0.21281965,-0.1279068,-13.476955
43.0,4.712222,13.464516,0.989365,0.2099572,-0.13005911,-13.594575
45.0,3.9457533,11.922599,0.99082077,0.25111067,-0.117287606,-12.0398855
47.0,4.449943,12.96709,0.98165685,0.22059986,-0.19799551,-13.165085
49.0,4.3829947,12.835419,0.98441523,0.22459877,-0.17362317,-13.009043
51.0,4.448957,12.965164,0.98792446,0.22205754,-0.14271466,-13.10788
53.0,4.37548,12.820515,0.98473704,0.22505805,-0.17078418,-12.991299
55.0,4.5653853,13.1895485,0.981427,0.21497135,-0.20002963,-13.389578
57.0,4.674013,13.393799,0.9823158,0.2101654,-0.19216701,-13.585966
59.0,4.0197616,12.084006,0.9938243,0.24723463,-0.090997204,-12.175003
61.0,4.152901,12.367031,0.9811818,0.23626417,-0.20219989,-12.569232
63.0,3.9912562,12.022192,0.9945139,0.24917316,-0.08497235,-12.107164
65.0,4.164718,12.391712,1.0,0.24011227,-0.037189625,-12.428903
67.0,3.4506435,10.758001,0.9830207,0.2848804,-0.18593621,-10.943937
69.0,4.2463923,12.560402,0.9888286,0.23286322,-0.13476913,-12.695171
71.0,4.1290708,12.317046,0.98390955,0.23828837,-0.17808633,-12.495132
73.0,4.49641,13.057318,0.987572,0.21963567,-0.14581406,-13.203133
75.0,3.53877,10.977047,0.98507416,0.27836627,-0.167811,-11.144857
77.0,4.410218,12.8892,0.99080545,0.22466134,-0.117421955,-13.006622
79.0,4.161453,12.3849,0.99261373,0.23852576,-0.10158427,-12.486485
81.0,3.697974,11.359277,0.9881237,0.2672068,-0.14096333,-11.50024
83.0,3.7961628,11.586896,0.9899166,0.2607677,-0.12521717,-11.712113
85.0,3.9135723,11.851467,0.98355705,0.2513195,-0.18119836,-12.032666
87.0,4.0878315,12.22986,0.98835355,0.24177942,-0.138943,-12.368803
89.0,3.6367772,11.214334,0.9867905,0.27133653,-0.15269054,-11.367024
91.0,4.1229477,12.304157,0.98525804,0.23896934,-0.16618969,-12.4703455
93.0,4.151605,12.364321,0.992154,0.23898081,-0.10560807,-12.46993
95.0,5.115936,14.178501,0.9886141,0.19324207,-0.13665386,-14.315156
97.0,4.261971,12.59221,0.9907288,0.23245789,-0.11809368,-12.710303
99.0,4.6919174,13.427008,0.9900239,0.21100625,-0.12427599,-13.551283
101.0,4.309828,12.6891985,0.9891504,0.22951043,-0.13194281,-12.821141
103.0,4.291477,12.652136,0.97860736,0.22803508,-0.22502033,-12.877157
105.0,3.96001,11.953926,0.98700505,0.24924307,-0.15080234,-12.104729
