case,helper,expected_groups,observed_groups,expected_channel_count,observed_channel_count,pass,detail
mono_root,group_crest_factor_time,{},{},0,0,True,
mono_root,group_octave_spectrum,{},{},0,0,True,
mono_root,report_generator,"{'Mono': ('',)}","{'Mono': ('',)}",1,1,True,
stereo,group_crest_factor_time,"{'All Channels': ('Channel 1 Left', 'Channel 2 Right')}","{'All Channels': ('Channel 1 Left', 'Channel 2 Right')}",2,2,True,
stereo,group_octave_spectrum,"{'All Channels': ('Channel 1 Left', 'Channel 2 Right')}","{'All Channels': ('Channel 1 Left', 'Channel 2 Right')}",2,2,True,
stereo,report_generator,"{'All Channels': ('Channel 1 Left', 'Channel 2 Right')}","{'All Channels': ('Channel 1 Left', 'Channel 2 Right')}",2,2,True,
ffmpeg_5_1,group_crest_factor_time,"{'Screen': ('Channel 1 FL', 'Channel 2 FR', 'Channel 3 FC'), 'LFE': ('Channel 4 LFE',), 'Surround+Height': ('Channel 5 SBL', 'Channel 6 SBR')}","{'Screen': ('Channel 1 FL', 'Channel 2 FR', 'Channel 3 FC'), 'Surround+Height': ('Channel 5 SBL', 'Channel 6 SBR'), 'LFE': ('Channel 4 LFE',)}",6,6,True,
ffmpeg_5_1,group_octave_spectrum,"{'Screen': ('Channel 1 FL', 'Channel 2 FR', 'Channel 3 FC'), 'LFE': ('Channel 4 LFE',), 'Surround+Height': ('Channel 5 SBL', 'Channel 6 SBR')}","{'Screen': ('Channel 1 FL', 'Channel 2 FR', 'Channel 3 FC'), 'Surround+Height': ('Channel 5 SBL', 'Channel 6 SBR'), 'LFE': ('Channel 4 LFE',)}",6,6,True,
ffmpeg_5_1,report_generator,"{'Screen': ('Channel 1 FL', 'Channel 2 FR', 'Channel 3 FC'), 'LFE': ('Channel 4 LFE',), 'Surround+Height': ('Channel 5 SBL', 'Channel 6 SBR')}","{'Screen': ('Channel 1 FL', 'Channel 2 FR', 'Channel 3 FC'), 'LFE': ('Channel 4 LFE',), 'Surround+Height': ('Channel 5 SBL', 'Channel 6 SBR')}",6,6,True,
ffmpeg_5_1_2,group_crest_factor_time,"{'Screen': ('Channel 1 FL', 'Channel 2 FR', 'Channel 3 FC'), 'LFE': ('Channel 4 LFE',), 'Surround+Height': ('Channel 5 SBL', 'Channel 6 SBR', 'Channel 7 TFL', 'Channel 8 TFR')}","{'Screen': ('Channel 1 FL', 'Channel 2 FR', 'Channel 3 FC'), 'Surround+Height': ('Channel 5 SBL', 'Channel 6 SBR', 'Channel 7 TFL', 'Channel 8 TFR'), 'LFE': ('Channel 4 LFE',)}",8,8,True,
ffmpeg_5_1_2,group_octave_spectrum,"{'Screen': ('Channel 1 FL', 'Channel 2 FR', 'Channel 3 FC'), 'LFE': ('Channel 4 LFE',), 'Surround+Height': ('Channel 5 SBL', 'Channel 6 SBR', 'Channel 7 TFL', 'Channel 8 TFR')}","{'Screen': ('Channel 1 FL', 'Channel 2 FR', 'Channel 3 FC'), 'Surround+Height': ('Channel 5 SBL', 'Channel 6 SBR', 'Channel 7 TFL', 'Channel 8 TFR'), 'LFE': ('Channel 4 LFE',)}",8,8,True,
ffmpeg_5_1_2,report_generator,"{'Screen': ('Channel 1 FL', 'Channel 2 FR', 'Channel 3 FC'), 'LFE': ('Channel 4 LFE',), 'Surround+Height': ('Channel 5 SBL', 'Channel 6 SBR', 'Channel 7 TFL', 'Channel 8 TFR')}","{'Screen': ('Channel 1 FL', 'Channel 2 FR', 'Channel 3 FC'), 'LFE': ('Channel 4 LFE',), 'Surround+Height': ('Channel 5 SBL', 'Channel 6 SBR', 'Channel 7 TFL', 'Channel 8 TFR')}",8,8,True,
