case,case_type,tone_frequency_hz,target_band_hz,band_rms,band_rms_dbfs,band_power_percent,max_peak_dbfs,median_rms_dbfs,median_crest_factor_db,valid_windows
center_8hz,lfe_center,8.0,8.0,0.5656854254157072,-4.948500209638479,99.99999999999994,-1.9382002529986628,-4.948500209638286,3.0102999566396242,11
center_8hz,lfe_center,8.0,16.0,3.883340031492185e-11,-208.215891605328,4.712603054787179e-19,-205.20557486210137,-208.21589137263882,nan,0
center_8hz,lfe_center,8.0,31.25,5.111700987204203e-10,-185.82869116978372,8.165464668591001e-17,-181.724020980066,-185.8286911956369,nan,0
center_8hz,lfe_center,8.0,62.5,3.8241929813813984e-10,-188.34920399824128,4.570141229602449e-17,-182.36904129472944,-188.34920400417565,nan,0
center_8hz,lfe_center,8.0,125.0,7.726269177158319e-10,-182.24060330896998,1.8654761031080073e-16,-176.08948476067266,-182.24060330978548,nan,0
center_8hz,lfe_center,8.0,250.0,8.594690958903129e-10,-181.31539469427042,2.308397267413299e-16,-172.22156756398007,-181.31539469520263,nan,0
center_16hz,lfe_center,16.0,8.0,1.7195917696546962e-17,-335.2914928435838,9.240612014241143e-32,-324.20984119634034,-335.2816475468709,nan,0
center_16hz,lfe_center,16.0,16.0,0.5656854258777326,-4.948500202544251,99.99999999999991,-1.9382002459044323,-4.948500202545409,3.0102999566409734,11
center_16hz,lfe_center,16.0,31.25,9.466497045547832e-13,-240.47621392621846,2.8004551880995584e-22,-237.46508271292606,-240.47620613542483,nan,0
center_16hz,lfe_center,16.0,62.5,5.47328574333353e-10,-185.23503756185818,9.361517728074359e-17,-181.75395611555444,-185.23503756436452,nan,0
center_16hz,lfe_center,16.0,125.0,3.6477348723299726e-10,-188.75953469891445,4.1581155172288514e-17,-182.83690041100596,-188.75953469590985,nan,0
center_16hz,lfe_center,16.0,250.0,2.626916650533436e-10,-191.61107413459195,2.15646595818648e-17,-184.87233356096323,-191.61107414010291,nan,0
center_31.25hz,lfe_center,31.25,8.0,2.5261599238931797e-17,-331.9507831796057,1.9942137294660336e-31,-314.58038801449993,-334.5530490225018,nan,0
center_31.25hz,lfe_center,31.25,16.0,4.873279265480074e-17,-326.24357400926385,7.421515843640113e-31,-311.53093891330906,-330.3016164636429,nan,0
center_31.25hz,lfe_center,31.25,31.25,0.5656854261367541,-4.948500198567071,99.99999999999991,-1.938200241927259,-4.948500198567219,3.0102999566399586,11
center_31.25hz,lfe_center,31.25,62.5,3.77802817949166e-10,-188.45469614187775,4.460467770345541e-17,-185.4443885117912,-188.45469613956314,nan,0
center_31.25hz,lfe_center,31.25,125.0,6.457787189169154e-10,-183.79832541769446,1.303219225172092e-16,-177.84131852834741,-183.79832541387185,nan,0
center_31.25hz,lfe_center,31.25,250.0,9.694511441850059e-10,-180.26948144899256,2.936985990674105e-16,-174.00173842876598,-180.26948144787113,nan,0
center_62.5hz,lfe_center,62.5,8.0,7.835366865982971e-17,-322.1188132853962,1.9185304189734307e-30,-312.6404673494732,-321.517214060059,nan,0
center_62.5hz,lfe_center,62.5,16.0,9.201206334976787e-17,-320.723104604657,2.6456936657912423e-30,-308.7838218794454,-321.48441314914123,nan,0
center_62.5hz,lfe_center,62.5,31.25,2.0667633268018846e-16,-313.6941850658958,1.334847066567096e-29,-299.3050630287058,-313.3723486822453,nan,0
center_62.5hz,lfe_center,62.5,62.5,0.5656854273329166,-4.9485001802004405,99.99999999999993,-1.9382002235606248,-4.948500180201085,3.0102999566404574,11
center_62.5hz,lfe_center,62.5,125.0,5.173842510753778e-10,-185.72373590261589,8.36520190640254e-17,-182.71340557047017,-185.72373590996654,nan,0
center_62.5hz,lfe_center,62.5,250.0,1.4314872994443484e-09,-176.88425001614775,6.403612097503295e-16,-172.43977896000413,-176.88425001460365,nan,0
center_125hz,lfe_center,125.0,8.0,2.7523983433225586e-16,-311.20577424457633,2.3674051698531238e-29,-300.4275571088646,-316.1511117810271,nan,0
center_125hz,lfe_center,125.0,16.0,5.852377234627914e-16,-304.6533537547041,1.0703224643366972e-28,-291.217074818639,-314.6445331870676,nan,0
center_125hz,lfe_center,125.0,31.25,4.426382310238543e-16,-307.0790215684261,6.122768783142026e-29,-292.6113004239387,-308.9487863843839,nan,0
center_125hz,lfe_center,125.0,62.5,1.0038314875592674e-15,-299.96678371524376,3.1489926329385687e-28,-287.0339702996821,-302.85816493982713,nan,0
center_125hz,lfe_center,125.0,125.0,0.5656854285631226,-4.948500161311084,99.99999999999993,-1.9382002046712472,-4.948500161313116,3.010299956641869,11
center_125hz,lfe_center,125.0,250.0,2.876203763937628e-10,-190.82360699430188,2.5851712456220405e-17,-187.81311906195188,-190.8236070104273,nan,0
center_250hz,lfe_center,250.0,8.0,4.2461170239712524e-16,-307.440160814966,5.634221703717141e-29,-296.7361083811251,-307.221587867059,nan,0
center_250hz,lfe_center,250.0,16.0,8.264614566988828e-16,-301.65554791222723,2.1344953966595954e-28,-289.21400698977334,-301.0356530556028,nan,0
center_250hz,lfe_center,250.0,31.25,2.121567843806562e-15,-293.4668615148579,1.40657813551522e-27,-283.2824245147548,-292.50562896951516,nan,0
center_250hz,lfe_center,250.0,62.5,3.3898636054952796e-15,-289.39635551424186,3.590992204356349e-27,-277.59142508955256,-295.8009798663801,nan,0
center_250hz,lfe_center,250.0,125.0,3.915716421190663e-15,-288.14377535255426,4.7915108784629726e-27,-274.81481847194243,-289.60861591867786,nan,0
center_250hz,lfe_center,250.0,250.0,0.5656854301162171,-4.9485001374638955,99.9999999999999,-1.938200180823991,-4.948500137457455,3.0102999566334203,11
crossover_8_16hz,lfe_crossover,11.313708498984761,8.0,0.3987450026904443,-7.986094934748622,49.681550878046096,-4.522641834796538,-7.96216707863457,3.0175036096843018,11
crossover_8_16hz,lfe_crossover,11.313708498984761,16.0,0.4009074239690771,-7.9391180289456065,50.2218648570078,-1.7016631022222264,-7.956819522234496,3.0179003625459,11
crossover_8_16hz,lfe_crossover,11.313708498984761,31.25,0.010058706361980701,-39.949157395501025,0.03161468786996222,-11.387190326494618,-96.10126897359537,23.11802733146184,2
crossover_8_16hz,lfe_crossover,11.313708498984761,62.5,0.005881324422280365,-44.610497272628805,0.01080823828133122,-13.088298301124969,-113.84726994595005,26.385165099511802,2
crossover_8_16hz,lfe_crossover,11.313708498984761,125.0,0.003971676089804141,-48.02052355271143,0.004928925826616476,-13.614603958390992,-127.13744873844861,29.44438687026279,2
crossover_8_16hz,lfe_crossover,11.313708498984761,250.0,0.0027771900322767777,-51.127888043125765,0.002409993291367705,-13.793923283372697,-139.48015167890736,32.46576599922055,2
crossover_16_31.25hz,lfe_crossover,22.360679774997898,8.0,0.010247479303116975,-39.7876590031444,0.03280783715316672,-15.980543478556374,-90.0021909394963,18.944711144362003,2
crossover_16_31.25hz,lfe_crossover,22.360679774997898,16.0,0.40048462506805954,-7.948283043593484,50.10893777754054,-3.647961471551284,-7.955295079685831,3.0176197591727676,11
crossover_16_31.25hz,lfe_crossover,22.360679774997898,31.25,0.39929209258918896,-7.974185806074948,49.810960962321296,-4.770532746110717,-7.965940861533362,3.017590763416692,11
crossover_16_31.25hz,lfe_crossover,22.360679774997898,62.5,0.0073131729130086615,-42.71788315949884,0.01670918182629411,-11.018865879844364,-106.50727748701246,25.84816285925454,2
crossover_16_31.25hz,lfe_crossover,22.360679774997898,125.0,0.0038293955040126226,-48.33739553886029,0.004581460504918251,-13.631716636069207,-126.08111432497154,29.3330342381592,2
crossover_16_31.25hz,lfe_crossover,22.360679774997898,250.0,0.0025181615884024107,-51.97832810013216,0.001981119582899305,-14.439008841798396,-139.96374202742646,32.439654498913185,2
crossover_31.25_62.5hz,lfe_crossover,44.19417382415922,8.0,0.004380324494621298,-47.16987431501665,0.005995261252068923,-23.527146570210004,-96.80632722410799,18.849836505791508,2
crossover_31.25_62.5hz,lfe_crossover,44.19417382415922,16.0,0.007275815854132273,-42.76236602324928,0.016540892609291678,-16.087981313141352,-101.74228357673371,21.81218089985778,2
crossover_31.25_62.5hz,lfe_crossover,44.19417382415922,31.25,0.4002356728308136,-7.953684109941413,50.05265663120554,-3.666329997637217,-7.957777496724874,3.0130494490914894,11
crossover_31.25_62.5hz,lfe_crossover,44.19417382415922,62.5,0.3996526705966408,-7.966345612019987,49.906944694232415,-4.767589339120252,-7.961394753366964,3.0130287060203753,11
crossover_31.25_62.5hz,lfe_crossover,44.19417382415922,125.0,0.005116401999243401,-45.82070680070002,0.008179464357467742,-11.10556960891444,-118.78733268387002,28.868335648325427,2
crossover_31.25_62.5hz,lfe_crossover,44.19417382415922,250.0,0.00269346501919916,-51.39377320776188,0.0022668261999810382,-13.678173799920486,-138.18444151874598,32.344196472211536,2
crossover_62.5_125hz,lfe_crossover,88.38834764831844,8.0,0.0021923342143279254,-53.181864766762516,0.0015020816320153695,-29.574835614679117,-102.5954885928069,18.831285448543028,2
crossover_62.5_125hz,lfe_crossover,88.38834764831844,16.0,0.003174673645883142,-49.96601826461752,0.003149765238069116,-23.44578401724844,-108.4486188698261,21.7308113821122,2
crossover_62.5_125hz,lfe_crossover,88.38834764831844,31.25,0.005280193961338573,-45.547002478142446,0.008713241761032952,-15.86783215255852,-113.32006348959689,24.83205630604435,2
crossover_62.5_125hz,lfe_crossover,88.38834764831844,62.5,0.39986182273619236,-7.961801172967786,49.96891216177825,-4.3621785872187235,-7.960620463011242,3.012147626855933,11
crossover_62.5_125hz,lfe_crossover,88.38834764831844,125.0,0.4000277953021858,-7.958196627092095,50.01040244319363,-2.624585043571895,-7.958434803473794,3.012148850063607,11
crossover_62.5_125hz,lfe_crossover,88.38834764831844,250.0,0.0035485555983887015,-48.99896771804806,0.003935348884160305,-11.275524078283826,-130.78712920108973,31.80822432593622,2
crossover_125_250hz,lfe_crossover,176.7766952966369,8.0,0.0009999418257319542,-60.00050530997018,0.0003124550234803449,-36.401666980277774,-109.35895788807494,18.82598481076707,2
crossover_125_250hz,lfe_crossover,176.7766952966369,16.0,0.0014093191595395103,-57.01981287690874,0.0006206642839959749,-30.530609977428682,-115.32062025232159,21.71140057416423,2
crossover_125_250hz,lfe_crossover,176.7766952966369,31.25,0.002059841165558031,-53.723325336123494,0.0013258839357802694,-24.20237368963467,-120.95613444981697,24.723441975359975,2
crossover_125_250hz,lfe_crossover,176.7766952966369,62.5,0.0034874490651298994,-49.1498425325436,0.0038006142219056587,-16.41794891934129,-126.0883186388771,27.85152571869159,2
crossover_125_250hz,lfe_crossover,176.7766952966369,125.0,0.4000588429638815,-7.957522508689796,50.013332271195374,-3.672914659709743,-7.958639634562607,3.0105635572649314,11
crossover_125_250hz,lfe_crossover,176.7766952966369,250.0,0.39991369856016523,-7.960674387587274,49.97704841655987,-4.7705768131999235,-7.959061967775312,3.0105638213163886,11
upper_transition_250_500hz,upper_transition,353.5533905932738,8.0,0.0005812660328982891,-64.71250109827288,0.00010558648812962478,-41.11590778441459,-114.05100960310966,18.825184437362957,2
