case,band_hz,source_peak,source_peak_db,source_rms,source_rms_db,band_peak,band_peak_db,band_peak_minus_source_peak_db,band_rms,band_rms_db,band_power_fraction,exceeds_source_peak,note
62.5 Hz sine,Full Spectrum,1.0,0.0,0.7071067811865476,-3.0102999566398116,1.0,0.0,0.0,0.7071067811865476,-3.0102999566398116,1.0000000000000002,False,Steady single tone exactly at the octave centre.
62.5 Hz sine,4.0,1.0,0.0,0.7071067811865476,-3.0102999566398116,8.071168197445695e-15,-281.8612720441284,-281.8612720441284,2.6509664664752263e-15,-291.531915317212,1.4055246412752295e-29,False,Steady single tone exactly at the octave centre.
62.5 Hz sine,8.0,1.0,0.0,0.7071067811865476,-3.0102999566398116,4.1625601992471974e-15,-287.61278945283885,-287.61278945283885,1.046974159436149e-15,-299.6012807418344,2.1923097810540616e-30,False,Steady single tone exactly at the octave centre.
62.5 Hz sine,16.0,1.0,0.0,0.7071067811865476,-3.0102999566398116,1.7451175162498563e-14,-275.1635064464123,-275.1635064464123,7.575216328478943e-16,-302.4120992065509,1.14767804846508e-30,False,Steady single tone exactly at the octave centre.
62.5 Hz sine,31.25,1.0,0.0,0.7071067811865476,-3.0102999566398116,1.3757982977498127e-13,-257.22890464461483,-257.22890464461483,3.797037173896402e-15,-288.4111030198638,2.8834982599902355e-29,False,Steady single tone exactly at the octave centre.
62.5 Hz sine,62.5,1.0,0.0,0.7071067811865476,-3.0102999566398116,1.0000000000000866,7.521754239115314e-13,7.521754239115314e-13,0.7071067811865476,-3.0102999566398116,1.0000000000000002,False,Steady single tone exactly at the octave centre.
62.5 Hz sine,125.0,1.0,0.0,0.7071067811865476,-3.0102999566398116,3.279913727786244e-13,-249.68275158941964,-249.68275158941964,6.490106333111284e-15,-283.75496375426945,8.424296043018239e-29,False,Steady single tone exactly at the octave centre.
62.5 Hz sine,250.0,1.0,0.0,0.7071067811865476,-3.0102999566398116,2.2210435385624528e-13,-253.06885856003376,-253.06885856003376,5.877145905854199e-15,-284.61667054739047,6.908168799739754e-29,False,Steady single tone exactly at the octave centre.
62.5 Hz sine,500.0,1.0,0.0,0.7071067811865476,-3.0102999566398116,2.2301104641014191e-13,-253.03347249005446,-253.03347249005446,1.043573271420263e-14,-279.6295410564295,2.17809034564558e-28,False,Steady single tone exactly at the octave centre.
62.5 Hz sine,1000.0,1.0,0.0,0.7071067811865476,-3.0102999566398116,1.7435177698256116e-13,-255.17147243925731,-255.17147243925731,2.554601087147508e-14,-271.85353814680025,1.3051973428910461e-27,False,Steady single tone exactly at the octave centre.
62.5 Hz sine,2000.0,1.0,0.0,0.7071067811865476,-3.0102999566398116,2.834049382014105e-13,-250.9518517327988,-250.9518517327988,5.068666166839568e-14,-265.90212622790426,5.138275342172823e-27,False,Steady single tone exactly at the octave centre.
62.5 Hz sine,4000.0,1.0,0.0,0.7071067811865476,-3.0102999566398116,3.7552792189550223e-13,-248.5071553210359,-248.5071553210359,9.169428737394038e-14,-260.75315440748426,1.6815684674029524e-26,False,Steady single tone exactly at the octave centre.
62.5 Hz sine,8000.0,1.0,0.0,0.7071067811865476,-3.0102999566398116,6.258831066221295e-13,-244.07013540893416,-244.07013540893416,1.268797201551035e-13,-257.9321557580371,3.219692677327475e-26,False,Steady single tone exactly at the octave centre.
62.5 Hz sine,16000.0,1.0,0.0,0.7071067811865476,-3.0102999566398116,5.641460258290806e-13,-244.97216933865357,-244.97216933865357,1.2085360102482018e-13,-258.3548080914057,2.9211185761332834e-26,False,Steady single tone exactly at the octave centre.
62.5 Hz sine,32000.0,1.0,0.0,0.7071067811865476,-3.0102999566398116,1.5229902294420433e-13,-256.3460576563654,-256.3460576563654,4.538043598185557e-14,-266.86262672098087,4.1187679398065836e-27,False,Steady single tone exactly at the octave centre.
62.5 Hz + 125 Hz burst,Full Spectrum,1.0,0.0,0.3479095209220304,-9.170673722988886,1.0,0.0,0.0,0.3479095209220304,-9.170673722988886,1.0,False,Two low tones with a smooth amplitude envelope.
62.5 Hz + 125 Hz burst,4.0,1.0,0.0,0.3479095209220304,-9.170673722988886,4.923740757571982e-12,-226.15409642805514,-226.15409642805514,3.5655187777258916e-13,-248.95754544015637,1.0502987008300781e-24,False,Two low tones with a smooth amplitude envelope.
62.5 Hz + 125 Hz burst,8.0,1.0,0.0,0.3479095209220304,-9.170673722988886,1.7917106706977622e-11,-214.93464239642782,-214.93464239642782,9.787798961284186e-13,-240.18629919037224,7.914754587633187e-24,False,Two low tones with a smooth amplitude envelope.
62.5 Hz + 125 Hz burst,16.0,1.0,0.0,0.3479095209220304,-9.170673722988886,8.096275772428785e-11,-201.83429414940287,-201.83429414940287,3.1597458173454513e-12,-230.0069570474057,8.248437111432424e-23,False,Two low tones with a smooth amplitude envelope.
62.5 Hz + 125 Hz burst,31.25,1.0,0.0,0.3479095209220304,-9.170673722988886,0.0002576021495699266,-71.78101034623965,-71.78101034623965,0.00018215205860881137,-74.7913183234789,2.741167284669314e-07,False,Two low tones with a smooth amplitude envelope.
62.5 Hz + 125 Hz burst,62.5,1.0,0.0,0.3479095209220304,-9.170673722988886,0.5681336359599585,-4.910989957127974,-4.910989957127974,0.24600906357272478,-12.180977842720292,0.49999952070659726,False,Two low tones with a smooth amplitude envelope.
62.5 Hz + 125 Hz burst,125.0,1.0,0.0,0.3479095209220304,-9.170673722988886,0.5683161126278911,-4.908200617406134,-4.908200617406134,0.2460092151200741,-12.180972492010337,0.5000001367296353,False,Two low tones with a smooth amplitude envelope.
62.5 Hz + 125 Hz burst,250.0,1.0,0.0,0.3479095209220304,-9.170673722988886,0.00012872385567612834,-77.80681920512458,-77.80681920512458,9.102142840894846e-05,-80.81712706693386,6.844703902970194e-08,False,Two low tones with a smooth amplitude envelope.
62.5 Hz + 125 Hz burst,500.0,1.0,0.0,0.3479095209220304,-9.170673722988886,5.003694111535759e-11,-206.01418495372346,-206.01418495372346,4.595230063586327e-13,-246.75385480919257,1.7445438550005614e-24,False,Two low tones with a smooth amplitude envelope.
62.5 Hz + 125 Hz burst,1000.0,1.0,0.0,0.3479095209220304,-9.170673722988886,1.0972716536058118e-11,-219.1937168002503,-219.1937168002503,7.068399471648684e-14,-263.0135782850875,4.1277134811959073e-26,False,Two low tones with a smooth amplitude envelope.
62.5 Hz + 125 Hz burst,2000.0,1.0,0.0,0.3479095209220304,-9.170673722988886,2.6653639135851177e-12,-231.4848697299558,-231.4848697299558,3.7362708101921576e-14,-268.5512330604573,1.1533047115909538e-26,False,Two low tones with a smooth amplitude envelope.
62.5 Hz + 125 Hz burst,4000.0,1.0,0.0,0.3479095209220304,-9.170673722988886,6.642491823390593e-13,-243.55337943028755,-243.55337943028755,7.227387076640014e-14,-262.8203737036276,4.315488880630318e-26,False,Two low tones with a smooth amplitude envelope.
62.5 Hz + 125 Hz burst,8000.0,1.0,0.0,0.3479095209220304,-9.170673722988886,4.54135931523463e-13,-246.85628270168482,-246.85628270168482,7.366525622221883e-14,-262.6547459249729,4.483248169163554e-26,False,Two low tones with a smooth amplitude envelope.
62.5 Hz + 125 Hz burst,16000.0,1.0,0.0,0.3479095209220304,-9.170673722988886,5.878989916929406e-13,-244.61394569339706,-244.61394569339706,9.512775404196473e-14,-260.43385513574634,7.476216316139312e-26,False,Two low tones with a smooth amplitude envelope.
62.5 Hz + 125 Hz burst,32000.0,1.0,0.0,0.3479095209220304,-9.170673722988886,2.250885302943572e-13,-252.95293269055205,-252.95293269055205,3.5693427002353165e-14,-268.94823504998715,1.0525527428137709e-26,False,Two low tones with a smooth amplitude envelope.
Unit impulse,Full Spectrum,1.0,0.0,0.0010206207261596577,-59.82271233039568,1.0,0.0,0.0,0.0010206207261596577,-59.82271233039568,1.0000000000000002,False,Worst-case broadband transient for impulse-response behaviour.
Unit impulse,4.0,1.0,0.0,0.0010206207261596577,-59.82271233039568,0.0002626172304845031,-71.61353565945865,-71.61353565945865,1.575842761659578e-05,-96.04974237589332,0.00023839491930958897,False,Worst-case broadband transient for impulse-response behaviour.
Unit impulse,8.0,1.0,0.0,0.0010206207261596577,-59.82271233039568,0.00030778640349940755,-70.2350113818129,-70.2350113818129,1.575842760445304e-05,-96.04974238258627,0.00023839491894219605,False,Worst-case broadband transient for impulse-response behaviour.
Unit impulse,16.0,1.0,0.0,0.0010206207261596577,-59.82271233039568,0.0005989176555129516,-64.4526576829199,-64.4526576829199,2.2004501009570156e-05,-93.14976950748067,0.00046483014209296707,False,Worst-case broadband transient for impulse-response behaviour.
Unit impulse,31.25,1.0,0.0,0.0010206207261596577,-59.82271233039568,0.001190214979091031,-58.487491767096756,-58.487491767096756,3.097109413817438e-05,-90.1808690347577,0.0009208403252310331,False,Worst-case broadband transient for impulse-response behaviour.
Unit impulse,62.5,1.0,0.0,0.0010206207261596577,-59.82271233039568,0.002404628517405763,-52.379040134676416,-52.379040134676416,4.404614419341729e-05,-87.1218420759424,0.001862460305575015,False,Worst-case broadband transient for impulse-response behaviour.
Unit impulse,125.0,1.0,0.0,0.0010206207261596577,-59.82271233039568,0.004809258215113802,-46.358438089679986,-46.358438089679986,6.22906544885773e-05,-84.1115421193018,0.0037249206111507017,False,Worst-case broadband transient for impulse-response behaviour.
Unit impulse,250.0,1.0,0.0,0.0010206207261596577,-59.82271233039568,0.009618517020378683,-40.33783764347129,-40.33783764347129,8.8092288386843e-05,-81.10124216266193,0.007449841222301485,False,Worst-case broadband transient for impulse-response behaviour.
Unit impulse,500.0,1.0,0.0,0.0010206207261596577,-59.82271233039568,0.019237034335832907,-34.31723759695941,-34.31723759695941,0.00012458130897715532,-78.09094220602212,0.014899682444602982,False,Worst-case broadband transient for impulse-response behaviour.
Unit impulse,1000.0,1.0,0.0,0.0010206207261596577,-59.82271233039568,0.03847406881920359,-28.296637650371718,-28.296637650371718,0.0001761845767736861,-75.08064224938231,0.02979936488920597,False,Worst-case broadband transient for impulse-response behaviour.
