test_type,frequency_hz,expected_band,observed_primary_band,primary_power_percent,secondary_band,secondary_power_percent,top_pair_power_percent,power_sum_percent,pass
center,4.0,4 Hz and below,4 Hz and below,100.0,,0.0,100.0,100.0,True
center,8.0,8 Hz,8 Hz,100.0,,0.0,100.0,100.0,True
center,16.0,16 Hz,16 Hz,100.0,,0.0,100.0,100.0,True
center,31.25,31.25 Hz,31.25 Hz,100.0,,0.0,100.0,100.0,True
center,62.5,62.5 Hz,62.5 Hz,100.0,,0.0,100.0,100.0,True
center,125.0,125 Hz,125 Hz,100.0,,0.0,100.0,100.0,True
center,250.0,250 Hz,250 Hz,100.0,,0.0,100.0,100.0,True
center,500.0,500 Hz,500 Hz,100.0,,0.0,100.0,100.0,True
center,1000.0,1000 Hz,1000 Hz,100.0,,0.0,100.0,100.0,True
center,2000.0,2000 Hz,2000 Hz,100.0,,0.0,100.0,100.0,True
center,4000.0,4000 Hz,4000 Hz,100.0,,0.0,100.0,100.0,True
center,8000.0,8000 Hz,8000 Hz,100.0,,0.0,100.0,100.0,True
center,16000.0,16000 Hz,16000 Hz,100.0,,0.0,100.0,100.0,True
crossover,5.656854249492381,4 Hz and below / 8 Hz,8 Hz,50.00000000000002,4 Hz and below,49.99999999999998,100.0,100.0,True
crossover,11.313708498984761,8 Hz / 16 Hz,16 Hz,50.000000000000014,8 Hz,50.000000000000014,100.00000000000003,100.00000000000003,True
crossover,22.360679774997898,16 Hz / 31.25 Hz,16 Hz,50.00000000000006,31.25 Hz,49.99999999999994,100.0,100.0,True
crossover,44.19417382415922,31.25 Hz / 62.5 Hz,31.25 Hz,50.000000000000014,62.5 Hz,50.000000000000014,100.00000000000003,100.00000000000003,True
crossover,88.38834764831844,62.5 Hz / 125 Hz,125 Hz,50.000000000000014,62.5 Hz,50.000000000000014,100.00000000000003,100.00000000000003,True
crossover,176.7766952966369,125 Hz / 250 Hz,250 Hz,50.0000000000001,125 Hz,49.99999999999989,100.0,100.0,True
crossover,353.5533905932738,250 Hz / 500 Hz,250 Hz,50.000000000000014,500 Hz,50.000000000000014,100.00000000000003,100.00000000000003,True
crossover,707.1067811865476,500 Hz / 1000 Hz,1000 Hz,50.000000000000014,500 Hz,50.000000000000014,100.00000000000003,100.00000000000003,True
crossover,1414.213562373095,1000 Hz / 2000 Hz,2000 Hz,50.000000000000014,1000 Hz,50.000000000000014,100.00000000000003,100.00000000000003,True
crossover,2828.42712474619,2000 Hz / 4000 Hz,2000 Hz,50.000000000000014,4000 Hz,50.000000000000014,100.00000000000003,100.00000000000003,True
crossover,5656.85424949238,4000 Hz / 8000 Hz,8000 Hz,50.00000000000021,4000 Hz,49.99999999999979,100.0,100.0,True
crossover,11313.70849898476,8000 Hz / 16000 Hz,8000 Hz,50.0000000000002,16000 Hz,49.9999999999998,100.0,100.0,True
crossover,22627.41699796952,16000 Hz / >22627 Hz,16000 Hz,50.0000000000002,>22627 Hz,49.9999999999998,100.0,100.0,True
