band,band_rms_db_relative_to_source,crest_factor_db,crest_factor_expansion_db,active_for_acceptance,pass
Full Spectrum,0.0,6.000193631148352,0.0,True,True
4 Hz and below,-46.354010943081725,12.498955623135814,6.498761991987462,False,True
8 Hz,-46.884249066404095,13.25295638930325,7.252762758154899,False,True
16 Hz,-17.199625375808246,11.177328418007036,5.177134786858685,True,False
31.25 Hz,-10.274910139157246,11.947867417934447,5.947673786786095,True,False
62.5 Hz,-10.126518861465435,11.5145405435755,5.514346912427148,True,False
125 Hz,-9.958442468639737,12.527384375301537,6.527190744153185,True,False
250 Hz,-10.040047898301488,12.177964751222529,6.177771120074177,True,False
500 Hz,-10.012896871642244,13.533426873859451,7.533233242711099,True,False
1000 Hz,-9.935550147699043,14.357274208798394,8.357080577650041,True,False
2000 Hz,-9.97089640312542,14.426347225833664,8.426153594685314,True,False
4000 Hz,-9.949833874962511,13.533453927213221,7.53326029606487,True,False
8000 Hz,-9.916223486259979,14.049992862628226,8.049799231479874,True,False
16000 Hz,-10.864657533488097,13.909599577520488,7.909405946372137,True,False
>22627 Hz,-25.32567594851798,13.978727993653724,7.978534362505372,True,False
