band,active_bins_sampled,min_active_weight,max_active_weight,negative_weight_count,max_abs_phase_shift_degrees,pass
4 Hz and below,845,0.0015994547706959753,1.0,0,0.0,True
8 Hz,563,0.0007941976735528078,0.9999987208714002,0,0.0,True
16 Hz,553,0.0029762083427446536,0.9999986475321763,0,0.0,True
31.25 Hz,553,0.0016446683003925563,0.9999963357402004,0,0.0,True
62.5 Hz,563,0.0020801802315134244,0.9999999508678167,0,0.0,True
125 Hz,563,0.00031347147284985823,0.9999978364227616,0,0.0,True
250 Hz,563,0.0012859836202305588,0.9999993865344956,0,0.0,True
500 Hz,563,0.0011076690085219337,0.9999991731227224,0,0.0,True
1000 Hz,563,0.0004917861978156888,0.9999981914515174,0,0.0,True
2000 Hz,563,0.0019018658455297207,0.9999998790731605,0,0.0,True
4000 Hz,562,0.005089695983796729,0.9999963656196358,0,0.0,True
8000 Hz,563,0.00209124014603769,0.9999999542736308,0,0.0,True
16000 Hz,447,0.0003024115347934025,0.9999978133549351,0,0.0,True
>22627 Hz,165,0.00349025541979845,0.7949086161553658,0,0.0,True
